"","ID","Species","SampleID","Length.cm.","Month","GonWeight","Weight.g.","H_Sex","Oocyte_Stage","Phase","Mature","M_CA","M_VT","CN","PN","CA","VTI","VTII","VTIII","Muscel.Bundles","Blood.Vessels","POFS","atresia"
"1",440,"Pristipomoides zonatus","GAAC-1",30.5,"Jun",0.3,588,"M","","SC",1,NA,NA,"","","","","","","","","",""
"2",443,"Pristipomoides zonatus","GAAC-18",26,"Jul",1,381,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma"
"3",444,"Pristipomoides zonatus","GAAC-19",26.3,"Jul",0.1,370,"M","","U",0,NA,NA,"","","","","","","","","",""
"4",441,"Pristipomoides zonatus","GAAC-2",21.9,"Jun",0.3,212,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"5",442,"Pristipomoides zonatus","GAAC-20",26.1,"Jul",1.1,354,"F","PO","RE",NA,1,1,"x","x","","","","","","","","gamma"
"6",338,"Pristipomoides zonatus","GCMB-23",29,"Mar",1.8,535,"F","PO","RE",NA,NA,NA,"x","x","","","","","x","","",""
"7",339,"Pristipomoides zonatus","GCMB-37",29.3,"Jun",0.4,511,"M","","SC",1,NA,NA,"","","","","","","","","",""
"8",340,"Pristipomoides zonatus","GCMB-38",22.6,"Jun",0.5,215,"F","PO","RG",NA,1,1,"x","x","","","","","x","","","beta, gamma, delta"
"9",341,"Pristipomoides zonatus","GCMB-39",22.4,"Jun",0.5,239,"F","PO","RG",NA,1,1,"","x","","","","","x","","","beta, gamma, delta"
"10",342,"Pristipomoides zonatus","GCMB-40",28.4,"Jun",0.1,474,"M","","U",0,NA,NA,"","","","","","","","","",""
"11",343,"Pristipomoides zonatus","GCMB-42",31,"Jun",0.1,627,"M","","D",1,NA,NA,"","","","","","","","","",""
"12",344,"Pristipomoides zonatus","GCMB-43",18.1,"Jun",0.1,126,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"13",345,"Pristipomoides zonatus","GCMB-44",23,"Jun",0.5,254,"F","CA","D",NA,1,1,"x","x","x","","","","","","","gamma"
"14",346,"Pristipomoides zonatus","GCMB-45",20,"Jun",NA,158,"M","","U",0,NA,NA,"","","","","","","","","",""
"15",347,"Pristipomoides zonatus","GCMB-46",24,"Jun",0.8,282,"F","PO","RE",NA,1,1,"x","x","","","","","x","x","","gamma"
"16",348,"Pristipomoides zonatus","GCMB-47",19.5,"Jun",0.3,147,"F","PO","U",NA,0,0,"x","x","","","","","","","",""
"17",349,"Pristipomoides zonatus","GCMB-48",31.6,"Aug",0.3,736,"M","","D",1,NA,NA,"","","","","","","","","",""
"18",350,"Pristipomoides zonatus","GCMB-50",28.7,"Sep",0.4,480,"M","","U",0,NA,NA,"","","","","","","","","",""
